"张说","未知","张说(667年～730年) 唐代文学家，诗人，政治家。字道济，一字说之。原籍范阳（今河北涿县），世居河东（今山西永济），徙家洛阳。","{"故事：不做伪证":"　　张说入朝为官时，武则天的两个内宠张昌宗、张易之兄弟权倾朝野，多为不法。满朝官员中只有出名的硬汉宰相魏元忠不怕他们的淫威。张氏兄弟对魏元忠恨得要死，千方百计想把魏元忠除掉。他们在太后面前诬告魏元忠，说魏元忠在背后议论：太后老了，不如跟太子靠得住。武则天一听就火了，把魏元忠打进了牢监，准备亲自审讯，并且要张昌宗他们两人当面揭发。　　张昌宗恐怕辩不过魏元忠，就偷偷地去找魏元忠的部下张说，要张说作伪证，并且许诺说，只要张说答应，将来就提拔他。　　第二天，武则天上朝，召集太子和宰相，让张昌宗和魏元忠当面对质。魏元忠说什么也不承认有这回事。两人争论了半天，没有结果。张昌宗说：“张说亲耳听到魏元忠说过这些话，可以找他来作证。”武则天立刻传令张说进宫，张说进了朝堂。武则天问他说：“你听到魏元忠诽谤朝廷的话了吗?” 魏元忠一见张说进来，就高声叫起来说：“张说，你想跟张昌宗一起诬陷人吗?”张说回过头来哼了一声说：“魏公枉做宰相，竟说出这种不懂道理的话来。”张昌宗一看张说的话不对头，就在旁边催促他，说：“你别去管他，快来作证。”张说向武则天说：“陛下请看，在陛下面前，他还这样胁迫我，可以想象他在宫外是怎样作威作福了。现在我不能不实说，我确实没听魏元忠说过反对陛下的话，只是张昌宗逼我做伪证罢了。”　　武则天是个聪明人，听了张说的答话，知道魏元忠的确冤枉，但是她又不愿张昌宗他们下不了台阶，就骂张说说：“你真是反复无常的小人。”说着，就命令侍从把张说抓起来。以后，武则天又派人审讯张说。张说横下一条心，咬定他没有听到魏元忠说过谋反的话。因此，张说在朝廷大臣中获得了很高的声誉。 ▲","故事：剖疑护太子":"　　从武则天末年，唐朝屡次发生政变。睿宗李旦登基以后，政局仍不稳定，潜伏着政变危机，太平公主党徒众多，宰相七人，五出其门，文武大臣，大半附之，严重威胁着太子李隆基的地位。 传说睿宗景云年间的一天，皇帝早朝时对大臣们说：“最近有术士预言五日之内有军队进攻皇宫，大家说怎么办?”大臣们一听，大为震惊，纷纷要求皇帝调查此事，并加以警惕。张说出班奏道：“臣以为这是一些人散布的谗言，他们主要是想诬陷太子罢了。皇上如果以太子监国，处理朝政，加强太子的实权地位，则君臣名分就会固定下来，有利于稳定人心和政局。弄奸的小人就没有胆量再搞破坏，这样流言蜚语就不会再有人传播了。”　　张说的建议，得到了其他大臣的赞同，睿宗皇帝立即下诏自即日起由太子李隆基监国执政，从而为太子李隆基地位的巩固奠定了基础。 ▲","故事：姚崇算计张说":"　　姚崇是唐玄宗早期的著名贤相，死后葬于洛阳，姚崇曾与张说一起在朝中为相，但两人之间的政见多有不合，因而隔阂很深。　　传说姚崇病危时，对守在身边的几个儿子说：“张说丞相与我政见不和，但他才华出众，文章妙绝天下。我死后希望能让他来给我写墓志。我们关系不好，但张丞相向来喜欢炫耀，爱好排场，尤其喜欢华美服饰，珍贵宝物。我死后，他一定会来吊唁。你们把我的服饰玩物中，宝贵值钱的东西放在床帐前。张说假如不看，你们就无希望了；假如他注意这些东西，就把他喜欢的玩物给他送去，乘机请他为我写篇墓志。拿到文章就镌刻，并把它送给皇帝过目。张丞相考虑问题常比我慢，几天后一定要反悔。假如他收回碑文，就告诉他皇帝已经同意，并领他看刻好的石碑。”　　姚崇死后，张说果然来了。张说看到姚家陈列的服饰、玩物，眼露欲光，看了三四遍。姚家人按姚崇吩咐的那样去做，张说果然收下赠物，写了一篇祭文，叙述姚崇的生平，褒扬姚崇的政绩，详尽而生动。张说本来就是当时有名的诗人，故文章一出，就被大家称为杰作。姚家人连忙呈上皇帝过目并刻石。　　几天后，张说果然派人来索要稿本，说文辞不够周密，想修改修改。姚崇的儿子们领来人看了已刻好的石碑，并告知皇上已过目同意。仆人回告张说，张说非常悔恨，抚着胸说：“死去的姚崇还能算计活着的张说，我今天才知道我的才能不如他的呀!” ▲","性格特点":"　　张说有才智，但脾气暴躁，又好受人贿赂。百官凡奏事有不合他心意的，“好面折之，至于叱骂”，所以与同僚的关系不甚融洽。开元十四年（726年）二月，玄宗召回河南尹崔隐甫，欲授任要官，张说却认为他不通文学，遂奏请拟任金吾大将军；前殿中崔月用与张说关系密切，便推荐他为御史大夫。玄宗拒绝了他的意见，即以隐甫为御史大夫，隐甫心里怨望张说。　　御史中丞宇文融，曾建议检括天下游户及籍外占田，设置十道劝农事，分行郡县督责检查，张说担心扰民，屡次从中阻止。这时，宇文融又请求吏部设立十铨，与苏颋等分管选举，凡有论奏，张说又极力抑止，“于是铨选失序”。宇文融愤怒已极，即联合崔隐甫、李林甫共同弹劾张说，说他招引术士王庆则“祠祷解，而奏表其闾”，引僧人道岸“窥诇时事，冒署右职”；其亲吏张观、范尧臣依据张说权势，“市权招赂”，又擅自给太原九姓羊钱千万，言辞“丑惨”。玄宗十分恼怒，即敕令源乾曜、崔隐甫、刑部尚书韦抗于御史台鞫审张说。　　源乾曜奉诏鞫审张说，罪状多属实，玄宗派高力士去看张说，见他蓬首垢面，坐在草地上，使用的是瓦器，吃的是粗食，以表示“自罚忧惧”。高力士将此情况回报玄宗，并说：“说往纳忠，于国有功。”玄宗听后也很怜悯他，仅罢去中书令职务，命在集贤院专修国史，只诛杀王庆则等人，受株连者十余人。　　开元十五年（727年）正月，御史大夫崔隐甫与中丞宇文融唯恐玄宗再进用张说，一再上言诋毁他。于是“各为朋党”，相互攻讦。玄宗疾恨朝臣朋比为奸，因命张说致仕，隐甫被免官，宇文融也被出为魏州刺史。　　开元十六年（728年）二月，以尚书右丞相致仕的张说兼任集贤殿学士。张说虽罢知政事，专文史之任，但玄宗对他的宠遇不衰，“朝廷每有大事，上常遣中使访之”，以征询张说的意见。　　开元十七年（729年），再拜张说为尚书右丞相，集贤院学士。不久，又代源乾曜为尚书左丞相。他上任那天，玄宗特命有司供帐，奏音乐，具酒馔，并作御诗一篇以叙此事，仪式热烈而隆重。不久，又以修撰谒陵仪注有功，加封开府仪同三司，其长子张均为中书舍人，次子张垍尚宁亲公主，拜驸马都尉。“当时荣宠，莫与为比。”　　开元十八年（730年），张说患病，玄宗每天都遣中使前去看望，并御笔写药方赐予他。由于医治无效，这年十二月病卒。时年六十四岁。赠太师，谥曰文贞。玄宗还亲自为张说撰神道碑文。　　张说曾三任宰弼，擅长文学。一生掌文学之任三十多年。有助成文治之功，也颇有武略，可谓文武兼资。他明于政体，改革不合时宜的政治和军事制度。故史家称赞他“发明典章，开元文物彬彬，说居力多”，是推动“开元之治”的一位重要人物。 ▲"}","https://guwen-1252396323.cos.ap-chengdu.myqcloud.com/headImage/20180914152415546.jpg"
"张乔","未知","（生卒年不详)，今安徽贵池人，懿宗咸通中年进士，当时与许棠、郑谷、张宾等东南才子称“咸通十哲”黄巢起义时，隐居九华山以终。其诗多写山水自然，不乏清新之作诗清雅巧思，风格也似贾岛。","{}","https://guwen-1252396323.cos.ap-chengdu.myqcloud.com/headImage/20180914152419394.jpg"
"杨无咎","未知","杨无咎（1097～1171）字补之，杨一作扬，一说名补之，字无咎。自号逃禅老人、清夷长者、紫阳居士。临江清江（今江西樟树）人，寓居洪州南昌。绘画尤擅墨梅。水墨人物画师法李公麟。书学欧阳询，笔势劲利。今存《逃禅词》一卷，词多题画之作，风格婉丽。生平事迹见《宋史翼》卷三六。","{}","https://guwen-1252396323.cos.ap-chengdu.myqcloud.com/headImage/20180914152429325.jpg"
"李洞","未知","李洞，字才江，人，诸王孙也。慕贾岛为诗，铸其像，事之如神。时人但诮其僻涩，而不能贵其奇峭，唯吴融称之。昭宗时不第，游蜀卒。诗三卷。 晚唐诗人李洞有一百七十余首诗歌(残句六句)流传至今,其中涉及蜀中的诗篇约有三十首,占其创作总量的六分之一,足见蜀中经历在其诗歌创作中占有的重要地位。","{}",""
"吕渭老","未知","吕渭老（生卒年不详），一作吕滨老，字圣求，嘉兴（今属浙江）人。宣和、靖康年间在朝做过小官，有诗名。南渡后情况不详。赵师岌序其词云：“宣和末，有吕圣求者，以诗名，讽咏中率寓爱君忧国意。”“圣求居嘉兴，名滨老，尝位周行，归老于家。”今存《圣求词》一卷。","{}",""
"李嘉祐","未知","李嘉祐，字从一，生卒年俱不可考，赵州（今河北省赵县）人。天宝七年（748）进士，授秘书正字。","{}",""
"张抡","未知","[约公元一一六二年前后在世]字才甫，自号莲社居士，开封（今属河南）人。里居及生卒年均不详，约宋高宗绍兴末前后在世。好填词，每应制进一词，宫中即付之丝竹。尝于乾道三年，（公元一一六七年）高宗莅聚景园，抡进柳梢青词；淳熙六年（公元一一七九）三月，高宗再莅聚景园，抡进壶中天慢词；九月，孝宗幸绛华宫，抡进临江仙词：均赐赉极渥。抡所著有《莲社词》一卷，存词100余首。《文献通考》及绍兴内府古器评二卷，《四库总目》并传于世。","{}",""
"袁去华","未知","袁去华，字宣卿，江西奉新（一作豫章）人。生卒年均不详，约宋高宗绍兴末前后在世。绍兴十五年（公元一一四五年）进士。改官知石首县而卒。善为歌词，尝为张孝祥所称。去华著有适斋类稿八卷，词一卷，著有《适斋类稿》、《袁宣卿词》、《文献通考》传于世。存词90余首。","{}",""
"曾觌","未知","曾觌（音di迪）（1109-1180） 字纯甫，汴京（今河南开封）人。绍兴中，为建王内知客。孝宗受禅，以潜邸旧人，授权知阁门事。淳熙初，除开府仪同三司，加少保、醴泉观使。趋奉宫廷，词多应制之作。其词语言婉丽，风格柔媚。代表作为《阮郎归》、《水调歌头》《西江月》《定风波》（长相思》、《采桑子》、《眼儿媚》、《忆秦娥》等，其中以《阮郎归》一词为最著名。","{}",""
"李耳","未知","老子，姓李名耳，字聃，一字或曰谥伯阳。华夏族， 楚国苦县厉乡曲仁里（今河南省鹿邑县太清宫镇）人，约生活于前571年至471年之间。是我国古代伟大的哲学家和思想家、道家学派创始人，被唐朝帝王追认为李姓始祖。老子故里鹿邑县亦因老子先后由苦县更名为真源县、卫真县、鹿邑县，并在鹿邑县境内留下许多与老子息息相关的珍贵文物。老子乃世界文化名人，世界百位历史名人之一，存世有《道德经》（又称《老子》），其作品的精华是朴素的辩证法，主张无为而治，其学说对中国哲学发展具有深刻影响。在道教中，老子被尊为道教始祖。老子与后世的庄子并称老庄。","{"主要著作":"　　老子在出函谷关前著有五千言的《老子》一书，又名《道德经》或《道德真经》。《道德经》、《易经》和《论语》被认为是对中国人影响最深远的三部思想巨著。《道德经》分为上下两册，共81章，前37章为上篇道经，第38章以下属下篇德经，全书的思想结构是：道是德的“体”，德是道的“用”。全文共计五千字左右。　　《道德经》是后来的称谓，最初这本书称为《老子》而无《道德经》之名。其成书年代过去多有争论，至今仍无法确定，不过根据1993年出土的郭店楚简“老子”年代推算，成书年代至少在战国中前期。楚简《老子》校注，参看丁四新著《郭店楚竹书老子校注》等书。　　《老子》以“道”解释宇宙万物的演变，以为“道生一，一生二，二生三，三生万物”，“道”乃“夫莫之命（命令）而常自然”，因而“人法地，地法天，天法道，道法自然”。除了朴素的唯物主义观点，《老子》一书中还包括大量朴素辩证法观点，如以为一切事物均具有正反两面，“反者道之动”，并能由对立而转化，此外，书中也有大量的民本思想：“天之道，损有余而补不足，人之道则不然，损不足以奉有馀”；“民之饥，以其上食税之多”；“民之轻死，以其上求生之厚”；“民不畏死，奈何以死惧之？”其学说对中国哲学发展具有深刻影响。▲"}","https://guwen-1252396323.cos.ap-chengdu.myqcloud.com/headImage/20180914152448627.jpg"
"杜安世","未知","杜安世，生卒不详，京兆（今陕西西安）人。字寿域，（一作名寿 ，字安世）陈振孙《直斋书录解题》卷二一载《杜寿域词》一卷，谓“京兆杜安世撰，未详其人，词亦不工”；列于张先后、欧阳修前。黄升《花庵词选》云：字安世，名寿域。有陆贻典校本《杜寿域词》。与《四库总目提要》卷200，谓其词“往往失之浅俗，字句尤多凑泊”。慢词作家，亦能自度新曲。《四库总目》传于世。有《寿域词》一卷。","{}","https://guwen-1252396323.cos.ap-chengdu.myqcloud.com/headImage/20180914152449526.jpg"
